Algoritmo;TamMatriz;Hilos;Repeticion;Tiempo_microsegundos;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos;
mmClasicaOpenMP;5;4;8;254;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;9;112;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;10;3406;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;11;3326;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;12;1403;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;13;114;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;14;133;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;15;413;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;16;141;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;17;110;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;18;118;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;19;105;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;20;111;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;21;104;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;22;107;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;23;114;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;24;114;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;25;1666;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;26;131;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;27;124;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;28;1650;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;29;144;;;;;;;;;;;;;
mmClasicaOpenMP;5;4;30;107;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;1;338;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;2;259;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;3;237;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;4;321;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;5;255;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;6;281;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;7;229;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;8;241;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;9;234;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;10;301;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;11;974;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;12;1018;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;13;634;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;14;568;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;15;582;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;16;251;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;17;247;;;;;;;;;;;;;
mmClasicaOpenMP;5;8;18;262;;;;;;;;;;;;;
